brand,facility_count,total_beds,total_inspections,total_deficiencies,deficiency_rate,severity_index,serious_deficiency_rate,repeat_citation_rate
"Bvr, Inc.",2,12,15,32,2.1333333333333333,7.25,0.59375,0.5
"De Luna, Diosdado",2,12,9,32,3.5555555555555554,6.5,0.4375,1.0
Sandhill Assisted Living Llc,2,12,34,27,0.7941176470588235,6.333333333333333,0.8148148148148148,1.0
"Mari, Antonia B & Bacani, Soledad F",2,12,16,27,1.6875,6.0,0.5185185185185185,1.0
"Jaakk, Inc.",2,12,12,23,1.9166666666666667,4.5,0.34782608695652173,1.0
Ageway Senior Care,2,12,12,23,1.9166666666666667,4.25,0.21739130434782608,0.5
"Zhao, Ping Jing",2,12,7,15,2.142857142857143,3.0,0.4,0.0
Alara Health Services,4,24,16,13,0.8125,1.3333333333333333,0.46153846153846156,0.0
"Bl Homes, Inc.",2,14,11,7,0.6363636363636364,1.1428571428571428,0.2857142857142857,0.5
Eskaton,2,257,55,33,0.6,0.3463035019455253,0.45454545454545453,0.5
Welltower Pegasus Tenant Llc; Psl Associates Llc,2,245,65,31,0.47692307692307695,0.3183673469387755,0.45161290322580644,1.0
Emeritus Corporation,2,190,47,19,0.40425531914893614,0.30526315789473685,0.9473684210526315,0.5
Pacifica Senior Living,17,2177,521,268,0.5143953934740882,0.2971979788700046,0.3619402985074627,0.5882352941176471
"Carlton Senior Living, Llc",2,274,39,35,0.8974358974358975,0.2737226277372263,0.14285714285714285,1.0
Aegis Senior Communities,13,1154,251,87,0.3466135458167331,0.19584055459272098,0.4367816091954023,0.38461538461538464
Summerville at Cobbco Inc; Emeritus Corporation,2,200,37,12,0.32432432432432434,0.15,0.3333333333333333,0.0
Belmont Village,9,1599,205,78,0.3804878048780488,0.11444652908067542,0.34615384615384615,0.3333333333333333
Oakmont Senior Living,53,6604,839,249,0.2967818831942789,0.09100545124167171,0.39759036144578314,0.2830188679245283
Merrill Gardens,3,448,49,12,0.24489795918367346,0.07142857142857142,0.6666666666666666,0.3333333333333333
Sunrise Senior Living,14,1533,163,32,0.19631901840490798,0.0502283105022831,0.34375,0.14285714285714285
ActivCare Living,6,424,59,8,0.13559322033898305,0.04245283018867924,0.25,0.0
Atria Senior Living,15,2567,303,37,0.12211221122112212,0.036618620958317104,0.4864864864864865,0.13333333333333333
Front Porch Communities,3,1254,56,8,0.14285714285714285,0.01674641148325359,0.375,0.0
