slug,name,city,recent_3y,total_inspections
assisted-living-and-memory-care-by-inspirations-530185,Assisted Living and Memory Care by Inspirations,Corona,1,1
claremont-place-603786,Claremont Place,Claremont,1,1
lily-rose-senior-living-inc-610358,Lily & Rose Senior Living Inc,Altadena,1,2
poway-gardens-senior-living-mountain-vistas-604633,Poway Gardens Senior Living - Mountain Vistas,Poway,1,1
sycamore-canyon-assisted-living-and-memory-care-881694,Sycamore Canyon Assisted Living and Memory Care,Riverside,1,1
aegis-residential-living-5474,Aegis Residential Living,Mission Viejo,2,3
arlington-heights-assisted-living-and-memory-care-881547,Arlington Heights Assisted Living and Memory Care,Riverside,2,2
bed-of-roses-residential-care-home-202557,Bed of Roses Residential Care Home,Campbell,2,3
caringbridge-inc-5801,Caringbridge Inc.,Anaheim,2,3
casa-pastel-care-home-294170,Casa Pastel Care Home,Mountain View,2,3
damenik-s-home-600358,Damenik's Home,San Francisco,2,2
divine-grace-villa-3772,Divine Grace Villa,Anaheim,2,6
eaton-place-200406,Eaton Place,Alamo,2,3
enchanted-garden-for-seniors-600704,Enchanted Garden for Seniors,San Mateo,2,2
family-connect-memory-care-palos-verdes-320474,Family Connect Memory Care Palos Verdes,Rancho Palos Verdes,2,2
heritage-place-600559,Heritage Place,San Mateo,2,3
ivy-park-at-sacramento-5180,Ivy Park at Sacramento,Sacramento,2,10
janet-s-residential-facility-for-the-elderly-540408,Janet's Residential Facility for the Elderly,San Francisco,2,4
mina-s-elderly-carehome-2-202883,Mina's Elderly Carehome 2,Los Gatos,2,2
navajo-care-home-201027,Navajo Care Home,Alamo,2,3
olivia-s-care-home-ii-601054,Olivia's Care Home Ii,San Mateo,2,9
portola-place-601058,Portola Place,San Mateo,2,2
roias-home-for-the-elderly-600251,Roias Home for the Elderly,San Mateo,2,2
sunrise-care-home-601324,Sunrise Care Home,San Lorenzo,2,3
vista-gardens-memory-care-881517,Vista Gardens Memory Care,Vista,2,2
a-p-care-home-for-seniors-601363,A & P Care Home for Seniors,Fremont,3,4
a-gabriela-s-villa-livermore-601270,A Gabriela's Villa-livermore,Livermore,3,6
a-new-haven-care-home-hampton-601428,A New Haven Care Home - Hampton,Livermore,3,5
a-silver-amore-senior-home-530174,A Silver Amore Senior Home,Eastvale,3,3
aaa-kindness-care-ii-850033,Aaa Kindness Care Ii,Santa Maria,3,6
abigail-s-guest-home-200379,Abigail's Guest Home,San Ramon,3,4
activcare-orange-5796,Activcare Orange,Orange,3,8
aegis-senior-residence-920145,Aegis Senior Residence,Antelope,3,3
ageway-boarding-care-2-600835,Ageway Boarding Care #2,San Mateo,3,3
angel-comfort-care-2-6228,Angel Comfort Care 2,Anaheim,3,4
assisted-lvg-memory-care-home-at-wildrose-ranch-530136,Assisted Lvg & Memory Care Home at Wildrose Ranch,Corona,3,3
autumn-glow-600141,Autumn Glow,San Francisco,3,3
b-ruiz-carehome-2-200783,B. Ruiz Carehome 2,Oakley,3,6
begonia-residential-care-home-601313,Begonia Residential Care Home,Union City,3,4
blossom-garden-senior-home-601482,Blossom Garden Senior Home,Hayward,3,5
c-r-home-for-the-elderly-600507,C & R Home for the Elderly,Union City,3,5
california-sunshine-rcfe-200335,California Sunshine Rcfe,Clayton,3,7
care-celine-5457,Care Celine,Anaheim,3,4
cathy-s-cottage-assisted-living-and-memory-care-881083,Cathy's Cottage - Assisted Living and Memory Care,Corona,3,5
charitys-residence-440427,Charitys Residence,Oakland,3,4
cogir-of-south-bay-320454,Cogir of South Bay,Torrance,3,3
dimond-care-601241,Dimond Care,Oakland,3,5
dysico-care-home-rcfe-201102,"Dysico Care Home, Rcfe",Pleasant Hill,3,5
eden-assisted-living-200687,Eden Assisted Living,Castro Valley,3,6
family-connect-memory-care-inc-602377,Family Connect Memory Care Inc,Torrance,3,6
family-connect-memory-care-solvang-850225,Family Connect Memory Care Solvang,Solvang,3,6
family-connected-memory-care-boutique-602982,Family Connected Memory Care Boutique,Torrance,3,4
forever-young-memory-care-5187,Forever Young Memory Care,Santa Ana,3,3
francel-guest-home-ii-3566,Francel Guest Home Ii,Anaheim,3,4
granny-s-loving-angels-llc-200562,Granny's Loving Angels Llc,Danville,3,4
hennelly-house-600071,Hennelly House,San Mateo,3,4
hidden-lane-villa-201306,Hidden Lane Villa,Los Altos,3,4
hrs-care-home-601187,Hrs Care Home,Livermore,3,5
ivy-park-at-bradford-6069,Ivy Park at Bradford,Placentia,3,5
ivy-park-at-la-palma-6451,Ivy Park at la Palma,La Palma,3,3
ivy-park-at-studio-city-610520,Ivy Park at Studio City,Studio City,3,3
ivy-park-at-tustin-6435,Ivy Park at Tustin,Santa Ana,3,3
kennedy-guest-home-600811,Kennedy Guest Home,Livermore,3,4
khivi-care-llc-201131,"Khivi Care, Llc",Livermore,3,5
lafayette-heights-res-care-600928,Lafayette Heights Res. Care,Lafayette,3,4
muriel-s-residential-facility-600502,Muriel's Residential Facility,Fremont,3,3
murrieta-gardens-881582,Murrieta Gardens,Murrieta,3,3
new-rivershore-care-home-600075,New Rivershore Care Home,Bay Point,3,7
oakley-assisted-living-ii-llc-201065,"Oakley Assisted Living Ii , Llc",Oakley,3,5
oakmont-of-agoura-hills-850344,Oakmont of Agoura Hills,Agoura Hills,3,3
old-oak-golden-villa-llc-601449,"Old Oak Golden Villa, Llc",Livermore,3,5
olympic-residential-care-home-601238,Olympic Residential Care Home,Martinez,3,4
penny-s-guest-home-601514,Penny's Guest Home,San Ramon,3,5
redwood-terrace-600566,Redwood Terrace,Escondido,3,8
reliez-valley-care-home-601499,Reliez Valley Care Home,Martinez,3,7
safe-haven-oakley-llc-201409,Safe Haven Oakley Llc,Oakley,3,3
shannen-guest-home-601262,Shannen Guest Home,Livermore,3,4
solheim-senior-community-802082,Solheim Senior Community,Los Angeles,3,5
south-bay-memory-care-320031,South Bay Memory Care,Torrance,3,4
st-joseph-senior-care-601478,St Joseph Senior Care,Newark,3,3
sunrise-of-orange-6300,Sunrise of Orange,Orange,3,5
sweet-care-home-in-gilroy-202811,Sweet Care Home in Gilroy,Gilroy,3,4
valle-verde-care-home-iii-601199,Valle Verde Care Home Iii,Pleasanton,3,3
valle-verde-care-home-iv-601251,Valle Verde Care Home Iv,Pleasanton,3,5
victoria-hills-assisted-living-and-memory-care-881398,Victoria Hills Assisted Living and Memory Care,Riverside,3,4
villa-monticello-assisted-living-603462,Villa Monticello Assisted Living,Escondido,3,7
villa-toscana-a-memory-care-community-202919,Villa Toscana a Memory Care Community,Mountain View,3,3
villa-vittoria-600737,Villa Vittoria,Martinez,3,3
